"hds_vendor_id","organization_id","vnd_no","vnd_sort_key","vendor_name","address_id","contact_attention","phone_country_code","phone_no","formatted_phone_no","fax_country_code","fax_no","formatted_fax_no","your_account_no","tax_registration_no","a1099_indicator","steelcase_vendor","vnd_terms_code","last_purchase_date","notes","manufacturer_code","sfsi_vendor","sfsi_collateral","exclude_from_purge","system_vendor","nonvendor_vendor","multi_special_quote_numbers","transmit_check_stub_info","always_print_po","allow_change_po","contact_code","contact_type","contact_email","phone_extension","fax_extension","print_non_negotiable_label_on_autocash_checks","currency_code","include_in_info_inquiry","inactive","trade_vie_requires_suff","vendor_deposit_required","vendor_deposit_percent","workmen_comp_exp_date","liability_insurance_exp_date","w9_on_file","valdelia_status","product_category","vat_credit_on_payments","eu_declaration","objectkey","created_on","updated_on","process_id"
"336495","TANGRAM","FER30 ","FERMOBUSA ","FERMOB USA",794178,"LESLIE NORMAN","US","6782672026","+1 (678) 267-2026","  "," ",""," ","58-2519812",False,False," 2","2025-05-02 00:00:00"," ","        ",False,False,False,False,False,False,False,True,"N",NULL,NULL,"accounting@fermobusa.com","    ","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False," ","     ",False,False,"TANGRAM-AP_VENDORS-FER30 ","2025-05-02 00:06:44.974371","2025-05-02 06:17:53.405155",NULL
"336499","TANGRAM","BUR05 ","BURCH     ","BURCH                         ",10242,"                         ","US","8008418111","+1 (800) 841-8111","US","6166980011","+1 (616) 698-0011","849059","38-0384980  ",False,False," 2","2025-04-29 00:00:00","Acct 849059","        ",False,False,False,False,False,False,False,False,"Y",NULL,NULL,"Burchfab@burchfabrics.com","    ","    ",False,"USD",True,False,False,False,"0.00",NULL,NULL,False,"N","     ",False,False,"TANGRAM-AP_VENDORS-BUR05 ","2025-05-02 00:06:44.974371","2025-05-02 07:04:10.73227",NULL
"336503","TANGRAM","COR27 ","CORPORATEM","CORPORATE MODULAR SERVICES INC",692243,"ISABEL QUINONES","US","8338217100","+1 (833) 821-7100","US","9498601827","+1 (949) 860-1827"," ","81-4434728",False,False," 2","2025-04-29 00:00:00"," ","        ",False,False,False,False,False,False,False,True,"N",NULL,NULL,"isabel@corpmodular.com","0020","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False," ","     ",False,False,"TANGRAM-AP_VENDORS-COR27 ","2025-05-02 00:06:44.974371","2025-05-02 07:14:25.08613",NULL
"336504","TANGRAM","MAG30 ","MAGNUSONGR","MAGNUSON GROUP",13399,"ORDER DESK","US","6307838100","+1 (630) 783-8100","US","6307838181","+1 (630) 783-8181","","36-3261838",False,False," 2","2025-04-29 00:00:00","Price increase 7/1/15.  Discount: 50%
Pricers on line. FOB Woodbridge,IL pr 8% of list over $200 list. Disc.: 50% Rep.: Finelines

U: 1/17","MGO     ",False,False,False,False,False,False,False,False,"Y",NULL,NULL," ","    ","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False,"N","     ",False,False,"TANGRAM-AP_VENDORS-MAG30 ","2025-05-02 00:06:44.974371","2025-05-02 07:14:25.08613",NULL
"336505","TANGRAM","WIE15 ","WIELAND   ","WIELAND",16593,"Nichole Short","US","4194464247","+1 (419) 446-4247","  ","","","               ","34-4407705",False,False," 2","2025-04-29 00:00:00","Net 30
","WIE     ",False,False,False,False,False,False,False,False,"Y",NULL,NULL,"nshort@saudermfg.com;accountsreceivable@saudermfg.com","    ","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False,"N","     ",False,False,"TANGRAM-AP_VENDORS-WIE15 ","2025-05-02 00:06:44.974371","2025-05-02 07:14:25.08613",NULL
"336510","TANGRAM","HUM06 ","HUMANACTIV","HUMAN ACTIVE TECHNOLOGY LLC",926132,"BRANDY","US","6102539554","+1 (610) 253-9554","  ","","","","80-0947636",True,False," 2","2025-04-29 00:00:00","Net 30
","        ",False,False,False,False,False,False,False,True,"N",NULL,NULL,"ar@team-hat.com","378 ","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False," ","     ",False,False,"TANGRAM-AP_VENDORS-HUM06 ","2025-05-02 00:06:44.974371","2025-05-02 07:35:02.12728",NULL
"336685","TANGRAM","KIM05 ","KIMBALLOFF","KIMBALL OFFICE INC",12975,"Krislyn Graber","US","8124828390","+1 (812) 482-8390","  ","","","               ","35-1688210",False,False," 2","2025-05-01 00:00:00","Net 30

","KIM     ",False,False,False,False,False,False,False,False,"Y",NULL,NULL,"krislyn.graber@kimballinternational.com","    ","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False,"N","     ",False,False,"TANGRAM-AP_VENDORS-KIM05 ","2025-05-02 00:06:44.974371","2025-05-05 09:15:49.845937",NULL
"336518","TANGRAM","CDW05 ","CDWCOMPUTE","CDW COMPUTER CENTERS, INC",10491,"DAVE SEABAUGH","US","4802707396","+1 (480) 270-7396","  ","","","4063547","36-4530079",False,False," 2","2025-04-29 00:00:00","ACCT# 4063547","        ",False,False,False,False,False,False,False,False,"Y",NULL,NULL,"davesea@cdw.com","    ","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False,"N","     ",False,False,"TANGRAM-AP_VENDORS-CDW05 ","2025-05-02 00:06:44.974371","2025-05-02 08:26:14.651173",NULL
"336520","TANGRAM","NIN05 ","9TO5SEATIN","9 TO 5 SEATING",14011,"","US","3102202500","+1 (310) 220-2500","US","8662000782","+1 (866) 200-0782","","95-3847827",False,False," 2","2025-04-29 00:00:00","Net 30 days","925     ",False,False,False,False,False,False,False,False,"Y",NULL,NULL,"accounting@9to5seating.com","    ","    ",False,"USD",True,False,False,False,"0.00",NULL,NULL,False,"N","     ",False,False,"TANGRAM-AP_VENDORS-NIN05 ","2025-05-02 00:06:44.974371","2025-05-02 08:26:14.651173",NULL
"336526","TANGRAM","ENW05 ","ENWORK    ","ENWORK",11515,"Heidi Morgensen","US","8008157251","+1 (800) 815-7251","US","6169879446","+1 (616) 987-9446"," ","20-4467006",False,False," 2","2025-04-30 00:00:00","Net 30
","ENW     ",False,False,False,False,False,False,False,True,"N",NULL,NULL,"hmorgensen@enwork.com;receivables@enwork.com","    ","    ",False,"USD",False,False,False,False,"0.00",NULL,NULL,False,"N","     ",False,False,"TANGRAM-AP_VENDORS-ENW05 ","2025-05-02 00:06:44.974371","2025-05-02 08:57:05.849788",NULL
